A00; Cólera
B21.7 ; Doença Pelo HIV Resultando em Múltiplas Neoplasias Malignas
B21.8 ; Doença Pelo HIV Resultando em Outras Neoplasias Malignas
B21.9 ; Doença Pelo HIV Resultando em Neoplasia Maligna Não Especificada
B22 ; Doença Pelo Vírus da Imunodeficiência Humana (HIV) Resultando em Outras Doenças Especificadas
B22.0 ; Doença Pelo HIV Resultando em Encefalopatia
B22.1 ; Doença Pelo HIV Resultando em Pneumonite Intersticial Linfática
B22.2 ; Doença Pelo HIV Resultando em Síndrome de Emaciação
B22.7 ; Doença Pelo HIV Resultando em Doenças Múltiplas Classificadas em Outra Parte
B23 ; Doença Pelo Vírus da Imunodeficiência Humana (HIV) Resultando em Outras Doenças
B23.0 ; Síndrome de Infecção Aguda Pelo HIV
B23.1 ; Doença Pelo HIV Resultando em Linfadenopatias Generalizadas (persistentes)
B23.2 ; Doença Pelo HIV Resultando em Anomalias Hematológicas e Imunológicas Não Classificadas em Outra Parte
B23.8 ; Doença Pelo HIV Resultando em Outra Afecções Especificadas
B24 ; Doença Pelo Vírus da Imunodeficiência Humana (HIV) Não Especificada
B25 ; Doença Por Citomegalovírus
B25.0 ; Pneumonite Por Citomegalovírus
B25.1 ; Hepatite Por Citomegalovírus
B25.2 ; Pancreatite Por Citomegalovírus
B25.8 ; Outras Doenças Por Citomegalovírus
B25.9 ; Doença Não Especificada Por Citomegalovírus
B26 ; Caxumba (Parotidite Epidêmica)
B26.0 ; Orquite Por Caxumba (parotidite Epidêmica)
B26.1 ; Meningite Por Caxumba (parotidite Epidêmica)
B26.2 ; Encefalite Por Caxumba (parotidite Epidêmica)
B26.3 ; Pancreatite Por Caxumba (parotidite Epidêmica)
B26.8 ; Caxumba (parotidite Epidêmica) Com Outras Complicações
B26.9 ; Caxumba (parotidite Epidêmica) Sem Complicações
B27 ; Mononucleose Infecciosa
B27.0 ; Mononucleose Pelo Vírus Herpes Gama
B27.1 ; Mononucleose Por Citomegalovírus
B27.8 ; Outras Mononucleoses Infecciosas
B27.9 ; Mononucleose Infecciosa Não Especificada
B30 ; Conjuntivite Viral
B30.0 ; Ceratoconjuntivite Devida a Adenovírus
B30.1 ; Conjuntivite Devida a Adenovírus
B30.2 ; Faringoconjuntivite Viral
B30.3 ; Conjuntivite Hemorrágica Aguda Endêmica (por Enterovírus)
B30.8 ; Outras Conjuntivites Virais
B30.9 ; Conjuntivite Viral Não Especificada
B33 ; Outras Doenças Por Vírus Não Classificada em Outra Parte
B33.0 ; Mialgia Epidêmica
B33.1 ; Doença de Ross River
B33.2 ; Cardite Viral
B33.3 ; Infecção Por Retrovírus Não Classificada em Outra Parte
B33.4 ; Síndrome (cardio
B33.8 ; Outras Doenças Especificadas Por Vírus
B34 ; Doenças Por Vírus, de Localização Não Especificada
B34.0 ; Infecção Por Adenovírus de Localização Não Especificada
B34.1 ; Infecção Por Enterovírus de Localização Não Especificada
B34.2 ; Infecção Por Coronavírus de Localização Não Especificada
B34.3 ; Infecção Por Parvovírus de Localização Não Especificada
B34.4 ; Infecção Por Papovavírus de Localização Não Especificada
B34.8 ; Outras Infecções Por Vírus de Localização Não Especificada
B34.9 ; Infecção Viral Não Especificada
B35 ; Dermatofitose
B35.0 ; Tinha da Barba e do Couro Cabeludo
B35.1 ; Tinha Das Unhas
B35.2 ; Tinha da Mão
B35.3 ; Tinha Dos Pés
B35.4 ; Tinha do Corpo
B35.5 ; Tinha Imbricada
B35.6 ; Tinea Cruris
B35.8 ; Outras Dermatofitoses
B35.9 ; Dermatofitose Não Especificada
B36 ; Outras Micoses Superficiais
B36.0 ; Pitiríase Versicolor
B36.1 ; Tinha Negra
B36.2 ; Piedra Branca
B36.3 ; Piedra Negra
B36.8 ; Outras Micoses Superficiais Especificadas
B36.9 ; Micose Superficial Não Especificada
B37 ; Candidíase
B37.0 ; Estomatite Por Candida
B37.1 ; Candidíase Pulmonar
B37.2 ; Candidíase da Pele e Das Unhas
B37.3 ; Candidíase da Vulva e da Vagina
B37.4 ; Candidíase de Outras Localizações Urogenitais
B37.5 ; Meningite Por Candida
B37.6 ; Endocardite Por Candida
B37.7 ; Septicemia Por Candida
B37.8 ; Candidíase de Outras Localizações
B37.9 ; Candidíase Não Especificada
B38 ; Coccidioidomicose
B38.0 ; Coccidioidomicose Pulmonar Aguda
B38.1 ; Coccidioidomicose Pulmonar Crônica
B38.2 ; Coccidioidomicose Pulmonar Não Especificada
B38.3 ; Coccidioidomicose Cutânea
B38.4 ; Meningite Por Coccidioidomicose
B38.7 ; Coccidioidomicose Disseminada
B38.8 ; Outras Formas de Coccidioidomicose
B38.9 ; Coccidioidomicose Não Especificada
B39 ; Histoplasmose
B39.0 ; Histoplasmose Pulmonar Aguda Por Histoplasma Capsulatum
B39.1 ; Histoplasmose Pulmonar Crônica Por Histoplasma Capsulatum
B39.2 ; Histoplasmose Pulmonar Não Especificada Por Histoplasma Capsulatum
B39.3 ; Histoplasmose Disseminada Por Histoplasma Capsulatum
B39.4 ; Histoplasmose Não Especificada Por Histoplasma Capsulatum
B39.5 ; Histoplasmose Por Histoplasma Duboisii
B39.9 ; Histoplasmose Não Especificada
B40 ; Blastomicose
B40.0 ; Blastomicose Pulmonar Aguda
B40.1 ; Blastomicose Pulmonar Crônica
B40.2 ; Blastomicose Pulmonar Não Especificada
B40.3 ; Blastomicose Cutânea
B40.7 ; Blastomicose Disseminada
B40.8 ; Outras Formas de Blastomicose
B40.9 ; Blastomicose Não Especificada
B41 ; Paracoccidioidomicose
B41.0 ; Paracoccidioidomicose Pulmonar
B41.7 ; Paracoccidioidomicose Disseminada
B41.8 ; Outras Formas de Paracoccidioidomicose
B41.9 ; Paracoccidioidomicose Não Especificada
B42 ; Esporotricose
B42.0 ; Esporotricose Pulmonar
B42.1 ; Esporotricose Linfocutânea
B42.7 ; Esporotricose Disseminada
B42.8 ; Outras Formas de Esporotricose
B42.9 ; Esporotricose Não Especificada
B43 ; Cromomicose e Abscesso Feomicótico
B43.0 ; Cromomicose Cutânea
B43.1 ; Abscesso Cerebral Feomicótico
B43.2 ; Abscesso e Cisto Feomicótico Subcutâneos
B43.8 ; Outras Formas de Cromomicose
B43.9 ; Cromomicose Não Especificada
B44 ; Aspergilose
B44.0 ; Aspergilose Pulmonar Invasiva
B44.1 ; Outras Aspergiloses Pulmonares
B44.2 ; Aspergilose Amigdaliana
B44.7 ; Aspergilose Disseminada
B44.8 ; Outras Formas de Aspergilose
B44.9 ; Aspergilose Não Especificada
B45 ; Criptococose
B45.0 ; Criptococose Pulmonar
B45.1 ; Criptococose Cerebral
B45.2 ; Criptococose Cutânea
B45.3 ; Criptococose Óssea
B45.7 ; Criptococose Disseminada
B45.8 ; Outras Formas de Criptococose
B45.9 ; Criptococose Não Especificada
B46 ; Zigomicose
B46.0 ; Mucormicose Pulmonar
B46.1 ; Mucormicose Rinocerebral
B46.2 ; Mucormicose Gastrointestinal
B46.3 ; Mucormicose Cutânea
B46.4 ; Mucormicose Disseminada
B46.5 ; Mucormicose Não Especificada
B46.8 ; Outras Zigomicoses
B46.9 ; Zigomicose Não Especificada
B47 ; Micetoma
B47.0 ; Eumicetoma
B47.1 ; Actinomicetoma
B47.9 ; Micetoma Não Especificado
B48 ; Outras Micoses, Não Classificadas em Outra Parte
B48.0 ; Lobomicose
B48.1 ; Rinosporidiose
B48.2 ; Alesqueriose
B48.3 ; Geotricose
B48.4 ; Penicilose
B48.7 ; Micoses Oportunistas
B48.8 ; Outras Micoses Especificadas
B49 ; Micose Não Especificada
B50 ; Malária Por Plasmodium Falciparum
B50.0 ; Malária Por Plasmodium Falciparum Com Complicações Cerebrais
B50.8 ; Outras Formas Graves e Complicadas de Malária Por Plasmodium Falciparum
B50.9 ; Malária Não Especificada Por Plasmodium Falciparum
B51 ; Malária Por Plasmodium Vivax
B51.0 ; Malária Por Plasmodium Vivax Com Rotura do Baço
B51.8 ; Malária Por Plasmodium Vivax Com Outras Complicações
B51.9 ; Malária Por Plasmodium Vivax Sem Complicações
B52 ; Malária Por Plasmodium Malariae
B52.0 ; Malária Por Plasmodium Malariae Com Nefropatia
B52.8 ; Malária Por Plasmodium Malariae Com Outras Complicações
B52.9 ; Malária Por Plasmodium Malariae Sem Complicações
B53 ; Outras Formas de Malária Confirmadas Por Exames Parasitológicos
B53.0 ; Malária Por Plasmodium Ovale
B53.1 ; Malária Por Plasmódios de Macacos
B53.8 ; Outras Formas de Malárias Com Confirmação Parasitológica, Não Classificadas em Outra Parte
B54 ; Malária Não Especificada
B55 ; Leishmaniose
B55.0 ; Leishmaniose Visceral
B55.1 ; Leishmaniose Cutânea
B55.2 ; Leishmaniose Cutâneo
B55.9 ; Leishmaniose Não Especificada
B56 ; Tripanossomíase Africana
B56.0 ; Tripanossomíase Por Trypanosoma Gambiense
B56.1 ; Tripanossomíase Por Trypanosoma Rhodesiense
B56.9 ; Tripanossomíase Africana Não Especificada
B57 ; Doença de Chagas
B57.0 ; Forma Aguda da Doença de Chagas, Com Comprometimento Cardíaco
B57.1 ; Forma Aguda da Doença de Chagas, Sem Comprometimento Cardíaco
B57.2 ; Doença de Chagas (crônica) Com Comprometimento Cardíaco
B57.3 ; Doença de Chagas (crônica) Com Comprometimento do Aparelho Digestivo
B57.4 ; Doença de Chagas (crônica) Com Comprometimento do Sistema Nervoso
B57.5 ; Doença de Chagas (crônica) Com Comprometimento de Outros Órgãos
B58 ; Toxoplasmose
B58.0 ; Oculopatia Por Toxoplasma
B58.1 ; Hepatite Por Toxoplasma
B58.2 ; Meningoencefalite Por Toxoplasma
B58.3 ; Toxoplasmose Pulmonar
B58.8 ; Toxoplasmose Com Comprometimento de Outros Órgãos
B58.9 ; Toxoplasmose Não Especificada
B59 ; Pneumocistose
B60 ; Outras Doenças Devidas a Protozoários, Não Classificadas em Outra Parte
B60.0 ; Babesiose
B60.1 ; Acantamebíase
B60.2 ; Naegleríase
B60.8 ; Outras Doenças Especificadas Devidas a Protozoários
B64 ; Doença Não Especificada Devida a Protozoários
B65 ; Esquistossomose (bilharziose) (Schistosomíase)
B65.0 ; Esquistossomose Devida ao Schistosoma Haematobium (esquistossomose Urinária)
B65.1 ; Esquistossomose Devida ao Schistosoma Mansoni (esquistossomose Intestinal)
B65.2 ; Esquistossomose Devida ao Schistosoma Japonicum
B65.3 ; Dermatite Por Cercárias
B65.8 ; Outras Esquistossomoses
B65.9 ; Esquistossomose Não Especificada
B66 ; Outras Infestações Por Trematódeos
B66.0 ; Opistorquíase
B66.1 ; Clonorquíase
B66.2 ; Dicrocelíase
B66.3 ; Fasciolíase
B66.4 ; Paragonimíase
B66.5 ; Fasciolopsíase
B66.8 ; Outras Infestações Por Trematódeos Especificados
B66.9 ; Infecção Não Especificada Por Trematódeo
B67 ; Equinococose
B67.0 ; Infestação Hepática Por Echinococcus Granulosus
B67.1 ; Infestação Pulmonar Por Echinococcus Granulosus
B67.2 ; Infestação Óssea Por Echinococcus Granulosus
B67.3 ; Infestações Por Echinmococcus Granulosus, Outras e de Localizações Múltiplas
B67.4 ; Infestação Não Especificada Por Echinococcus Granulosus
B67.5 ; Infestação Hepática Por Echinococcus Multilocularis
B67.6 ; Infecções Por Echinococcus Multilocularis, Outras e de Localizações Múltiplas
B67.7 ; Infestação Não Especificada Por Echinococcus Multilocularis
B67.8 ; Infestação Hepática Não Especificada, Por Echinococcus
B67.9 ; Infestações Por Echinococcus, Outras e as Não Especificadas
B68 ; Infestação Por Taenia
B68.0 ; Infestação Por Taenia Solium
B68.1 ; Infestação Por Taenia Saginata
B68.9 ; Infestação Não Especificada Por Taenia
B69 ; Cisticercose
B69.0 ; Cisticercose do Sistema Nervoso Central
B69.1 ; Cisticercose do Olho
B69.8 ; Cisticercose de Outras Localizações
B69.9 ; Cisticercose Não Especificada
B70 ; Difilobotríase e Esparganose
B70.0 ; Difilobotríase
B70.1 ; Esparganose
B71 ; Outras Infestações Por Cestóides
B71.0 ; Infestação Por Hymenolepis
B71.1 ; Infestação Por Dipylidium
B71.8 ; Outras Infestações Especificadas Por Cestóides
B71.9 ; Infestação Não Especificada Por Cestóides
B72 ; Dracontíase
B73 ; Oncocercose
B74 ; Filariose
B74.0 ; Filariose Por Wuchereria Bancrofti
B74.1 ; Filariose Por Brugia Malayi
B74.2 ; Filariose Por Brugia Timori
B74.3 ; Loaíase
B74.4 ; Mansonelose
B74.8 ; Outras Filarioses
B74.9 ; Filariose Não Especificada
B75 ; Triquinose
B76 ; Ancilostomíase
B76.0 ; Ancilostomose
B76.1 ; Necatoríase
B76.8 ; Outras Ancilostomíases
B76.9 ; Ancilostomíase Não Especificada
B77 ; Ascaridíase
B77.0 ; Ascaridíase Com Complicações Intestinais
B77.8 ; Ascaridíase Com Outras Complicações
B77.9 ; Ascaridíase Não Especificada
B78 ; Estrongiloidíase
B78.0 ; Estrongiloidíase Intestinal
B78.1 ; Estrongiloidíase Cutânea
B78.7 ; Estrongiloidíase Disseminada
B78.9 ; Estrongiloidíase Não Especificada
B79 ; Tricuríase
B80 ; Oxiuríase
B81 ; Outras Helmintíases Intestinais, Não Classificadas em Outra Parte
B81.0 ; Anisaquíase
B81.1 ; Capilaríase Intestinal
B81.2 ; Tricostrongilose
B81.3 ; Angiostrongilíase Intestinal
B81.4 ; Helmintíases Intestinais Mistas
B81.8 ; Outras Helmintíases Intestinais Especificadas
B82 ; Parasitose Intestinal Não Especificada
B82.0 ; Helmintíase Intestinal Não Especificada
B82.9 ; Parasitose Intestinal Não Especificada
B83 ; Outras Helmintíases
B83.0 ; Larva Migrans Visceral
B83.1 ; Gnatostomíase
B83.2 ; Angrostrongilíase Devida a Parastrongylus Cantonensis
B83.3 ; Singamose
B83.4 ; Hirudiníase Interna
B83.8 ; Outras Helmintíases Especificadas
B83.9 ; Helmintíase Não Especificada
B85 ; Pediculose e Ftiríase
B85.0 ; Pediculose Devida a Pediculus Humanus Capitis
B85.1 ; Pediculose Devida a Pediculus Humanus Corporis
B85.2 ; Pediculose Não Especificada
B85.3 ; Ftiríase
B85.4 ; Pediculose e Ftiríase Mista
B86 ; Escabiose (sarna)
B87 ; Miíase
B87.0 ; Miíase Cutânea
B87.1 ; Miíase Das Feridas
B87.2 ; Miíase Ocular
B87.3 ; Miíase Nasofaríngea
B87.4 ; Miíase Auricular
B87.8 ; Miíase de Outras Localizações
B87.9 ; Miíase Não Especificada
B88 ; Outras Infestações
B88.0 ; Outras Acaríases
B88.1 ; Tungíase (infestação Pela Pulga da Areia)
B88.2 ; Outras Infestações Por Artrópodos
B88.3 ; Hirudiníase Externa
B88.8 ; Outras Infestações Especificadas
B88.9 ; Infestação Não Especificada
B89 ; Doença Parasitária Não Especificada
B90 ; Seqüelas de Tuberculose
B90.0 ; Seqüelas de Tuberculose do Sistema Nervoso Central
B90.1 ; Seqüelas de Tuberculose Geniturinária
B90.2 ; Seqüelas de Tuberculose Óssea e Das Articulações
B90.8 ; Seqüelas de Tuberculose de Outros Órgãos
B90.9 ; Seqüelas de Tuberculose Das Vias Respiratórias e de Órgãos Não Especificados
B91 ; Seqüelas de Poliomielite
B92 ; Seqüelas de Hanseníase (lepra)
B94 ; Seqüelas de Outras Doenças Infecciosas e Parasitárias e Das Não Especificadas
B94.0 ; Seqüelas de Tracoma
B94.1 ; Seqüelas de Encefalite Viral
B94.2 ; Seqüelas de Hepatite Viral
B94.8 ; Seqüelas de Outras Doenças Infecciosas e Parasitárias Especificadas
B94.9 ; Seqüelas de Doença Infecciosa ou Parasitária Não Especificada
B95 ; Estreptococos e Estafilococos Como Causa de Doenças Classificadas em Outros Capítulos
B95.0 ; Estreptococo do Grupo A, Como Causa de Doenças Classificadas em Outros Capítulos
B95.1 ; Estreptococo do Grupo B, Como Causa de Doenças Classificadas em Outros Capítulos
B95.2 ; Estreptococo do Grupo D, Como Causa de Doenças Classificadas em Outros Capítulos
B95.3 ; Streptococcus Pneumoniae, Como Causa de Doenças Classificadas em Outros Capítulos
B95.4 ; Outros Estreptococos, Como Causa de Doenças Classificadas em Outros Capítulos
B95.5 ; Estreptococo Não Especificado, Como Causa de Doenças Classificadas em Outros Capítulos
B95.6 ; Staphylococcus Aureus, Como Causa de Doenças Classificadas em Outros Capítulos
B95.7 ; Outros Estafilococos Como Causa de Doenças Classificadas em Outros Capítulos
B95.8 ; Estafilococo Não Especificado, Como Causa de Doenças Classificadas em Outros Capítulos
B96 ; Outros Agentes Bacterianos, Como Causa de Doenças Classificadas em Outros Capítulos
B96.0 ; Mycoplasma Pneumoniae (M. Pneumoniae), Como Causa de Doenças Classificadas em Outros Capítulos
B96.1 ; Klebsiella Pneumoniae (M. Pneumoniae), Como Causa de Doenças Classificadas em Outros Capítulos
B96.2 ; Escherichia Coli (E. Coli), Como Causa de Doenças Classificadas em Outros Capítulos
B96.3 ; Haemophilus Influenzae (H. Influenzae), Como Causa de Doenças Classificadas em Outros Capítulos
B96.4 ; Proteus (mirabilis) (morganii), Como Causa de Doenças Classificadas em Outros Capítulos
B96.5 ; Pseudomonas (aeruginosa) (mallei) (pseudomallei), Como Causa de Doenças Classificadas em Outros Capítulos
B96.6 ; Bacillus Fragilis (B. Fragilis), Como Causa de Doenças Classificadas em Outros Capítulos
B96.7 ; Clostridium Perfringens (C. Perfringens), Como Causa de Doenças Classificadas em Outros Capítulos
B96.8 ; Outros Agentes Bacterianos Especificados, Como Causa de Doenças Classificadas em Outros Capítulos
B97 ; Vírus Como Causa de Doenças Classificadas em Outros Capítulos
B97.0 ; Adenovírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.1 ; Enterovírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.2 ; Coronavírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.3 ; Retrovírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.4 ; Vírus Sincicial Respiratório, Como Causa de Doenças Classificadas em Outros Capítulos
B97.5 ; Reovírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.6 ; Parvovírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.7 ; Papilomavírus, Como Causa de Doenças Classificadas em Outros Capítulos
B97.8 ; Outros Agentes Virais, Como Causa de Doenças Classificadas em Outros Capítulos
